City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Bilibino,RU,68.0546,166.4372,62.33,47,6,5.66,clear sky
166,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,0,12.66,clear sky
167,Ilulissat,GL,69.2167,-51.1,42.82,70,94,6.91,overcast clouds
168,Hay River,CA,60.8156,-115.7999,48.61,55,69,9.37,broken clouds
169,Mocuba,MZ,-16.8392,36.9856,61.93,96,86,3.8,overcast clouds
170,Chabahar,IR,25.2919,60.643,83.77,77,6,8.9,clear sky
171,Bluff,NZ,-46.6,168.3333,46.9,84,76,9.33,broken clouds
172,Lehi,US,40.3916,-111.8508,88.68,24,74,3.0,broken clouds
173,Chau Doc,VN,10.7,105.1167,81.37,79,100,11.03,overcast clouds
174,Pecos,US,31.4229,-103.4932,100.49,12,1,9.22,clear sky
175,Naze,JP,28.3667,129.4833,69.48,91,100,2.98,light rain
176,Mount Gambier,AU,-37.8333,140.7667,57.09,60,100,15.84,overcast clouds
177,Barrow,US,71.2906,-156.7887,32.02,86,90,10.36,overcast clouds
178,Villa San Giovanni,IT,38.2276,15.6386,75.38,58,100,5.99,overcast clouds
179,Ibra,OM,22.6906,58.5334,80.02,77,0,5.57,clear sky
180,Birao,CF,10.2849,22.7882,82.06,55,57,3.58,broken clouds
181,Cidreira,BR,-30.1811,-50.2056,63.18,78,100,10.18,moderate rain
182,Kieta,PG,-6.2167,155.6333,78.15,85,99,4.63,light rain
183,Kodiak,US,57.79,-152.4072,54.32,56,17,6.67,few clouds
184,Lensk,RU,60.7253,114.9278,46.17,82,89,10.2,overcast clouds
185,Hervey Bay,AU,-25.2986,152.8535,56.03,82,1,11.52,clear sky
186,Maniitsoq,GL,65.4167,-52.9,41.07,88,100,6.22,overcast clouds
187,Vila Velha,BR,-20.3297,-40.2925,76.95,80,0,3.0,clear sky
188,Carnarvon,AU,-24.8667,113.6333,57.27,82,100,6.91,overcast clouds
189,Taoudenni,ML,22.6783,-3.9836,106.52,7,90,7.29,overcast clouds
190,Ouesso,CG,1.6136,16.0517,72.36,87,93,1.54,overcast clouds
191,Aleksandrov Gay,RU,50.147,48.5704,63.01,74,51,4.45,broken clouds
192,Tilichiki,RU,60.4667,166.1,37.29,96,100,8.48,light rain
193,Mar Del Plata,AR,-38.0023,-57.5575,57.09,62,65,1.99,broken clouds
194,Srednekolymsk,RU,67.45,153.6833,52.92,57,100,13.58,overcast clouds
195,Pirojpur,BD,22.5667,89.9833,84.42,78,100,10.2,overcast clouds
196,Helong,CN,42.5397,128.9972,52.9,90,46,3.47,scattered clouds
197,Calvinia,ZA,-31.4707,19.776,54.66,38,1,13.22,clear sky
198,Lotofaga,WS,-13.9764,-171.8578,82.18,77,16,7.16,light rain
199,Sayyan,YE,15.1718,44.3244,67.69,34,23,2.98,few clouds
200,Sur,OM,22.5667,59.5289,84.11,79,0,14.18,clear sky
201,Tuburan,PH,6.6439,122.2736,81.46,75,91,1.68,overcast clouds
202,Roebourne,AU,-20.7833,117.1333,74.98,60,97,6.98,overcast clouds
203,Lincoln,US,40.8,-96.667,85.86,60,20,5.01,few clouds
204,Kamphaeng Phet,TH,16.25,99.5,81.09,64,100,2.3,overcast clouds
