City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Padre Bernardo,BR,2021-06-06 04:52:17,-15.35,-48.5,63.79,80,68,2.95
138,Aklavik,CA,2021-06-06 04:52:17,68.2191,-135.0107,45.32,79,98,6.31
139,Grobina,LV,2021-06-06 04:52:18,56.5352,21.1678,62.46,88,1,2.3
140,Ishigaki,JP,2021-06-06 04:52:18,24.3448,124.1572,78.93,94,75,17.27
141,Novonikolayevskiy,RU,2021-06-06 04:52:18,50.9738,42.3649,57.51,89,97,8.79
142,Kudahuvadhoo,MV,2021-06-06 04:52:18,2.6708,72.8944,83.37,74,48,14.07
143,Guerrero Negro,MX,2021-06-06 04:52:19,27.9769,-114.0611,62.76,85,95,12.19
144,Stepnogorsk,KZ,2021-06-06 04:52:19,52.3544,71.8869,64.69,34,0,5.75
145,Odweyne,SO,2021-06-06 04:52:20,9.4092,45.064,77.45,48,1,15.46
146,Wilmington,US,2021-06-06 04:48:34,34.2257,-77.9447,76.91,89,1,5.75
147,Grindavik,IS,2021-06-06 04:52:20,63.8424,-22.4338,47.55,93,75,18.41
148,Jucuaran,SV,2021-06-06 04:52:20,13.2539,-88.2478,68.61,89,90,1.77
149,Gusinoye Ozero,RU,2021-06-06 04:52:21,51.1144,106.2614,50.59,66,100,24.0
150,Vanimo,PG,2021-06-06 04:52:21,-2.6741,141.3028,83.79,74,84,5.23
151,Qaanaaq,GL,2021-06-06 04:52:21,77.484,-69.3632,34.54,65,66,7.07
152,Maceio,BR,2021-06-06 04:52:22,-9.6658,-35.7353,74.64,88,75,8.41
153,Winnemucca,US,2021-06-06 04:52:22,40.973,-117.7357,78.85,15,1,16.11
154,New Glasgow,CA,2021-06-06 04:50:52,45.5834,-62.6486,67.1,87,100,10.45
155,Kapaa,US,2021-06-06 04:51:23,22.0752,-159.319,79.12,70,20,1.01
156,Salvador,SV,2021-06-06 04:48:19,13.8333,-88.9167,72.0,97,93,0.72
157,Polunochnoye,RU,2021-06-06 04:52:23,60.8697,60.4153,74.73,33,61,9.57
158,Kanniyakumari,IN,2021-06-06 04:52:23,8.0833,77.5667,84.33,73,92,15.88
159,Qianan,CN,2021-06-06 04:52:23,44.9932,124.0581,70.02,46,78,5.5
160,Souillac,MU,2021-06-06 04:52:24,-20.5167,57.5167,78.37,88,75,0.22
161,Mackenzie,CA,2021-06-06 04:52:24,55.2999,-123.1698,57.42,41,75,2.3
162,Jiexiu,CN,2021-06-06 04:52:24,37.0244,111.9125,92.62,12,29,12.44
163,Kahului,US,2021-06-06 04:48:02,20.8947,-156.47,80.62,70,20,21.85
164,Guia Lopes Da Laguna,BR,2021-06-06 04:52:25,-21.4578,-56.1142,74.84,37,100,3.27
165,Beringovskiy,RU,2021-06-06 04:52:25,63.05,179.3167,39.42,86,65,4.18
166,Muravlenko,RU,2021-06-06 04:52:25,63.7898,74.523,51.37,47,100,15.39
167,Bakaly,RU,2021-06-06 04:52:26,55.1789,53.8028,63.73,49,19,8.84
168,Mackay,AU,2021-06-06 04:52:26,-21.15,149.2,73.69,60,81,17.27
169,Lebu,CL,2021-06-06 04:52:26,-37.6167,-73.65,48.24,77,94,10.13
170,Morgan City,US,2021-06-06 04:52:27,29.6994,-91.2068,78.01,94,90,8.32
171,Nuuk,GL,2021-06-06 04:52:27,64.1835,-51.7216,40.87,86,100,7.43
172,Moose Factory,CA,2021-06-06 04:52:27,51.2585,-80.6094,33.8,93,1,3.44
173,Luwuk,ID,2021-06-06 04:52:28,-0.9516,122.7875,85.75,69,48,8.03
174,Kerouane,GN,2021-06-06 04:52:28,9.2667,-9.0167,68.13,97,97,3.74
175,Cockburn Town,TC,2021-06-06 04:52:28,21.4612,-71.1419,79.92,81,0,23.06
176,Necochea,AR,2021-06-06 04:52:29,-38.5473,-58.7368,45.77,69,0,10.67
177,Great Yarmouth,GB,2021-06-06 04:52:29,52.6083,1.7305,58.95,90,19,4.27
178,Lazaro Cardenas,MX,2021-06-06 04:52:29,17.9583,-102.2,81.46,77,67,3.22
179,Atar,MR,2021-06-06 04:52:30,20.5169,-13.0499,85.84,16,100,11.95
180,Dikson,RU,2021-06-06 04:52:30,73.5069,80.5464,30.78,97,100,11.27
181,Chokurdakh,RU,2021-06-06 04:52:30,70.6333,147.9167,37.83,71,100,16.06
182,Alugan,PH,2021-06-06 04:52:31,12.2188,125.4808,83.84,76,70,2.01
183,Oranjemund,NA,2021-06-06 04:52:31,-28.55,16.4333,64.06,36,0,22.03
184,Caraballeda,VE,2021-06-06 04:52:31,10.6112,-66.8522,80.37,85,100,9.84
185,Kushima,JP,2021-06-06 04:52:32,31.4583,131.2333,74.71,76,100,5.79
186,Oron,NG,2021-06-06 04:52:32,4.8256,8.2343,74.53,94,100,2.55
187,Saskylakh,RU,2021-06-06 04:52:32,71.9167,114.0833,45.01,44,87,11.79
188,Les Herbiers,FR,2021-06-06 04:52:32,46.8667,-1.0167,52.59,80,23,5.46
189,Marawi,PH,2021-06-06 04:52:33,7.9986,124.2928,77.65,90,95,3.78
190,Komsomolskiy,UZ,2021-06-06 04:52:33,40.4272,71.7189,95.72,15,0,6.91
191,Lukulu,ZM,2021-06-06 04:52:33,-14.3707,23.242,48.65,87,77,5.59
192,Bastia,FR,2021-06-06 04:50:51,42.6667,9.3333,65.3,95,20,2.53
193,Hofn,IS,2021-06-06 04:52:34,64.2539,-15.2082,46.81,96,100,8.1
194,Burley,US,2021-06-06 04:52:34,42.5357,-113.7928,71.56,33,1,13.8
195,Bulungu,CD,2021-06-06 04:52:34,-4.55,18.6,72.52,51,66,1.39
196,Belyy Yar,RU,2021-06-06 04:52:35,53.6039,91.3903,48.09,87,75,15.75
197,Gawler,AU,2021-06-06 04:52:35,-34.6,138.7333,69.26,55,59,12.41
198,Dali,CN,2021-06-06 04:52:35,25.7,100.1833,76.19,56,52,3.15
199,Rockport,US,2021-06-06 04:51:15,28.0206,-97.0544,82.42,83,1,4.0
200,Sakakah,SA,2021-06-06 04:52:36,29.9697,40.2064,78.37,18,0,8.68
201,Lata,PT,2021-06-06 04:52:36,40.1629,-8.3327,59.81,88,0,1.16
202,Cubarral,CO,2021-06-06 04:52:36,3.7935,-73.8406,69.58,91,99,4.94
203,Carauari,BR,2021-06-06 04:52:37,-4.8828,-66.8958,72.55,99,100,1.39
204,San Jose,US,2021-06-06 04:47:57,37.3394,-121.895,65.7,68,40,3.0
205,Fukue,JP,2021-06-06 04:52:37,32.6881,128.8419,73.76,78,75,6.91
206,Jingdezhen,CN,2021-06-06 04:52:37,29.2947,117.2079,87.26,45,0,3.29
207,Isangel,VU,2021-06-06 04:52:38,-19.55,169.2667,77.11,73,75,15.17
208,Bonthe,SL,2021-06-06 04:52:38,7.5264,-12.505,79.2,84,93,3.87
209,Yorkton,CA,2021-06-06 04:52:38,51.2167,-102.4677,73.24,35,75,10.36
210,Zhangye,CN,2021-06-06 04:52:39,38.9342,100.4517,68.31,44,100,12.84
211,Tateyama,JP,2021-06-06 04:52:39,34.9833,139.8667,69.98,96,100,8.16
212,Klaksvik,FO,2021-06-06 04:52:39,62.2266,-6.589,49.12,93,75,10.49
213,Ambulu,ID,2021-06-06 04:52:40,-8.345,113.6058,86.81,63,4,7.43
214,Usogorsk,RU,2021-06-06 04:52:40,63.4106,48.6872,65.23,53,58,7.63
215,Kipini,KE,2021-06-06 04:52:40,-2.5257,40.5262,78.06,80,56,17.85
216,Curup,ID,2021-06-06 04:52:41,-3.4667,102.5333,82.45,59,34,4.05
217,Imbituba,BR,2021-06-06 04:51:09,-28.24,-48.6703,69.69,90,63,17.36
218,Airai,TL,2021-06-06 04:52:41,-8.9266,125.4092,69.01,67,67,3.69
