City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Muswellbrook,AU,42.15,clear sky,-32.2667,150.9,Wayfarer Motel
564,Labytnangi,RU,40.71,broken clouds,66.6572,66.4183,Priuralye Hotel
566,Pangnirtung,CA,35.51,few clouds,66.1451,-65.7125,Kilabuk Lodge
569,Khani,GE,51.37,overcast clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
572,Port Hardy,CA,49.12,light rain,50.6996,-127.4199,Airport Inn
577,Kapiri Mposhi,ZM,57.97,overcast clouds,-13.9652,28.6809,MA 22 LODGE
581,Victoria Point,AU,53.91,few clouds,-27.5833,153.3,Bay Retreat Motel
585,Coos Bay,US,59.05,overcast clouds,43.3665,-124.2179,Best Western Holiday Hotel
587,Sandwick,GB,55.22,broken clouds,60.0,-1.25,Beach House Self-Catering Accomodation
588,Portland,US,56.62,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
591,Tres Arroyos,AR,54.32,broken clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
592,Beringovskiy,RU,35.76,light rain,63.05,179.3167,Beringgorski
593,Stornoway,GB,55.92,broken clouds,58.2093,-6.3865,Caladh Inn
594,Vestmannaeyjar,IS,47.39,mist,63.4427,-20.2734,Glamping & Camping
597,Gold Coast,AU,54.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
603,Bagdarin,RU,57.45,overcast clouds,54.4333,113.6,Gostevoy Dom Terem
611,Hailar,CN,56.64,clear sky,49.2,119.7,Holiday Inn & Suites Hulunbuir
625,Altay,CN,53.76,clear sky,47.8667,88.1167,Jinqiao Hotel
627,Sorkjosen,NO,55.02,broken clouds,69.8,20.9333,Reisafjord Hotel AS
631,Mandalgovi,MN,51.55,broken clouds,45.7625,106.2708,В.Ганбат
632,Te Anau,NZ,36.37,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
634,Qianguo,CN,58.93,few clouds,45.1171,124.8568,Guo'er Luosi Hotel
639,Fujin,CN,54.07,clear sky,47.26,132.0322,Xilong Hotel Fujin Shop
651,Tawang,IN,55.98,overcast clouds,27.5833,91.8667,Hotel Mount View
652,Ilulissat,GL,39.22,broken clouds,69.2167,-51.1,Hotel Arctic
668,General Pico,AR,49.75,overcast clouds,-35.6566,-63.7568,Hotel Malargue
679,Ballina,AU,49.95,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
